mql_id,first_contact_date,landing_page_id,origin
8e952443b19bfc5d0b90e6c4eabcb8fb,2018-01-28,21a104c3279681d9856b8a48723c4fee,
280d8c73b56b79f1059539da36c7ae4a,2018-05-11,b76ef37428e6799c421989521c0e5077,
0138fa79ed7cc7113e031e4ac11bd26a,2017-07-07,22c29808c4f815213303f8933030604c,
e8432fb72c61c9066957124e5a420a05,2017-10-09,1722481ac9e5371e5099dea226b5421d,
84f11ceb99dafe222dde3767eb4fe663,2018-03-26,d5559420f79579b9aa701a202c4bc7eb,
99ba5c4097c6b8fef5ed774a1a6714b8,2018-05-26,58326e62183c14b0c03085c33b9fdc44,
4bc2d171e7cff7fa3c2c4bd0bf5dabc4,2017-07-27,6404292b0f9a5594edf14be71ce4c221,
e9fb2eda3d9c55a0d89c98d6c54b5b3e,2018-04-27,966098efaef7a4d665be6b0cb617541b,
e0a30be9b1b30f4d56a2f1e1e760e536,2017-12-06,f98c2bd96ac4a5d9476734e790c91384,
40d1075be60b9feb074947fb019cc6b4,2018-04-05,c70eb6fb5bd6e939b0d5ef32f21f61e8,
657ad4f3e2afdf70f27fe834691fb65a,2017-11-29,da1a335179b8a9784d5733c7c7ada254,
85410779053820c804ddc69ae4a48d9d,2018-04-02,8edd4451e41e482b32035dd8e8400ff4,
ca1e7c16062816dd5c888af7ea5afa0b,2017-07-28,22c29808c4f815213303f8933030604c,
adaedfcb189c2913db383791af9b8ec3,2018-03-06,3d75f6dd34b968151b3e86c9e28f1379,
67c34b9630469b3c13b7982316ffe7a1,2018-01-16,a623837d6a3000b3cd020295728e8252,
0b99dab71519032b917dc641cdd7ac5b,2017-06-14,d41d8cd98f00b204e9800998ecf8427e,
2ec0e064ff1ce7e35575be2cd7aa9431,2018-03-12,a7982125ff7aa3b2054c6e44f9d28522,
49117628ac2ccc7459e70c95fc9f55f1,2018-04-17,3aea860a87895eee6b72f666b3d7b98a,
6710565534bb35faf7fad5971cf885b3,2018-02-02,0c83f57c786a0b4a39efab23731c7ebc,
