seller_id,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,city_match,state_match
f410c8873029fcc3809b9df6d0b28914,95076,caxias do sul,sp,95076,-29.17808030258512,-51.148415929149984,caxias do sul,rs,True,False
392f7f2c797e4dc077e4311bde2ab8ce,21210,rio de janeiro,rn,21210,-22.84241849058194,-43.300843557957364,rio de janeiro,rj,True,False
1284de4ae8aa26997e748c851557cf0e,85301,laranjeiras do sul,sp,85301,-25.406806070174984,-52.41237334276092,laranjeiras do sul,pr,True,False
8b181ee5518df84f18f4e1a43fe07923,87360,goioere,sp,87360,-24.185834485083557,-53.02532749670743,goioere,pr,True,False
3d700782d7818f2c1e0d7a9e9d75fc00,86170,sertanopolis,sp,86170,-23.058947215839765,-51.03748208565939,sertanopolis,pr,True,False
f626e15b7314c267e4429010866f70e9,85960,marechal candido rondon,sp,85960,-24.554779706474,-54.058913651473326,marechal candido rondon,pr,True,False
c716e0b86ed568878475b60fbb6323ad,22783,rio de janeiro,sp,22783,-22.984040501861816,-43.45261875788073,rio de janeiro,rj,True,False
c8771b1a10bb99bb34d3c459c5cffb53,36512,tocantins,sp,36512,-21.172824432762116,-43.02182436907186,tocantins,mg,True,False
5962468f885ea01a1b6a97a218797b0a,82040,curitiba,pr,,,,,,False,False
48436dade18ac8b2bce089ec2a041202,27277,volta redonda,sp,27277,-22.497188028896694,-44.12732444217972,volta redonda,rj,True,False
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,sp,31570,-19.807884545156707,-43.98081789877275,belo horizonte,mg,True,False
83d458c0d6d4f94295d63f091460bd60,29101,vila velha,sp,29101,-20.344895855883795,-40.288068517208714,vila velha,es,True,False
d9d43faf741ceaa8da52fdbb81d9e0e3,36010,juiz de fora,sp,36010,-21.76439998967105,-43.34581160427039,juiz de fora,mg,True,False
94231344608e603693b0a8891143f65d,91520,porto alegre,sp,91520,-30.0685476644193,-51.16731320954033,porto alegre,rs,True,False
2aafae69bf4c41fbd94053d9413e87ee,91901,porto alegre,rs,,,,,,False,False
20a7efa9721046319bdde5d60b6b5365,88790,laguna,sp,88790,-28.476154796011475,-48.784803095181964,laguna,sc,True,False
2a167ca73899c85001a837d8fb4962f6,37540,sao paulo,sp,37540,-22.246365676411074,-45.70682849228701,santa rita do sapucai,mg,False,False
740205fedfe4e90ca6857bc77db0f2b4,95055,caxias do sul,sp,95055,-29.15071894130233,-51.14315557760511,caxias do sul,rs,True,False
a3082f442524a1be452e3189e003b361,81560,curitiba,sp,81560,-25.486532584216913,-49.217763951927225,curitiba,pr,True,False
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,sp,88301,-26.91153727464585,-48.65665902341681,itajai,sc,True,False
52b53f7061969fe471d119b6195da864,88301,itajai,sp,88301,-26.91153727464585,-48.65665902341681,itajai,sc,True,False
cd52a8efd71af3336b14b5039b951cc1,88136,palhoca,sp,88136,-27.640749787925756,-48.70861578315629,palhoca,sc,True,False
5733d806668f8712c24b9abaefbfa642,89803,chapeco,sp,89803,-27.095519979971815,-52.63250603978279,chapeco,sc,True,False
fa3a0b5aabb344b9a92e3524b0202123,83020,sao jose dos pinhais,sp,83020,-25.558280025581983,-49.19529442947121,sao jose dos pinhais,pr,True,False
f00e21b1e91a79653163b7fd8f293ff1,37795,andradas,sp,37795,-22.070559830857196,-46.573545435867445,andradas,mg,True,False
2a50b7ee5aebecc6fd0ff9784a4747d6,72580,brasilia,df,,,,,,False,False
d7827b2af99326a03b0ed9c7a24db0d3,86076,londrina,sp,86076,-23.28648260305548,-51.17799015520049,londrina,pr,True,False
296729ffb9b684050dd24836dac4494a,80240,curitiba,sp,80240,-25.44914567554983,-49.28899740981397,curitiba,pr,True,False
2e90cb1677d35cfe24eef47d441b7c87,02285,sao paulo,sp,,,,,,False,False
9d5604a1f112324ad6b2aa552122e0fb,88075,florianopolis,sp,88075,-27.584785724513985,-48.5803100064531,florianopolis,sc,True,False
b43d8b707f887a30f4675391098354a0,44600,ipira,sp,44600,-12.153728573965802,-39.740534694694155,ipira,ba,True,False
0b3f27369a4d8df98f7eb91077e438ac,07412,aruja,sp,,,,,,False,False
8060d731897e33b5c5ae575ce1e209e1,89052,blumenau,sp,89052,-26.890856861277637,-49.074124772118324,blumenau,sc,True,False
cce6ab8d1682639fe45ab70234f1665f,81020,curitiba,sp,81020,-25.49075902808783,-49.28690500127513,curitiba,pr,True,False
3a52d63a8f9daf5a28f3626d7eb9bd28,71900,aguas claras df,sp,71900,-15.832886698369714,-48.02937761319955,brasilia,df,False,False
ec5c1d94df153d473b37f880977ae58e,21320,rio de janeiro,sp,21320,-22.89213860431669,-43.347953177984074,rio de janeiro,rj,True,False
7ad41305e96a6cab8294cd65891e9a86,28810,rio bonito,sp,28810,-22.75094838246097,-42.530624085106965,boa esperanca,rj,False,False
67225bff54a172ff67579aaf583efd78,85960,marechal candido rondon,pa,85960,-24.554779706474,-54.058913651473326,marechal candido rondon,pr,True,False
a1474fd46fd3430168f7ec202da39408,83321,pinhais,sp,83321,-25.44632670618372,-49.176642585435225,pinhais,pr,True,False
42bde9fef835393bb8a8849cb6b7f245,71551,brasilia,df,,,,,,False,False
870d0118f7a9d85960f29ad89d5d989a,37708,pocos de caldas,mg,,,,,,False,False
6b9b80d53ba3676eafe60268a810b5a1,31160,belo horizonte,sp,31160,-19.87926911727396,-43.93177725535666,belo horizonte,mg,True,False
