customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,city_match,state_match
9b7822c67a91b431e9254007b587214d,9d0ac1cdbfc919d676e2c2377abb32c1,71928,brasilia,df,71928,-15.845635190858065,-48.031713728553214,brasília,df,False,True
d387341bbce5ab96e3647bb0e8d0b55a,91e6fd64694fa9a828270d442ba88e03,06835,embu,sp,06835,-23.676672160109366,-46.85109917448426,embu das artes,sp,False,True
ecb1725b26e8b8c458181455dfa434ea,b55a113bb84fc10eaf58c6d09ec69794,72300,brasilia,df,,,,,,False,False
bcf86029aeed4ed8bac0e16eb14c22f5,7cd7974c9f79f75b77f323878ef87f43,11547,cubatao,sp,,,,,,False,False
e86aabf122bf269f6a73ef1631ea593e,264f33eb52366d6efeae97a7de43a1e6,48967,nucleo residencial pilar,ba,48967,-10.33361416984474,-40.15152490130054,jaguarari,ba,False,True
f4302056f0c58570522590f8181de2c7,67b05b597a66b5c449025000b9430abb,64605,picos,pi,,,,,,False,False
ceead79d927539feb1a27e3ec80cac36,f75da962fb4ddac1569e90c21803c455,06768,taboao da serra,sp,06768,-23.607633000000003,-46.75564199999999,taboão da serra,sp,False,True
03bbe0ce5c28e05f22917607db798818,8f3dca4306d5a89e4ae2c65c110603a2,72465,brasilia,df,,,,,,False,False
ad4950aded55c2ea376be59506456d68,aa2b96dd03307ea6dc4b763c0b5f0b39,07729,caieiras,sp,,,,,,False,False
6e7dc8f6ec3f0a0d72fa64992ebe2fc8,5efeef1510d928c549c082d0ef4447ac,72904,santo antonio do descoberto,go,,,,,,False,False
627dfd4a1b84a6a7e2a5e989ba72101d,4c3e319751f31fb9c21a247247fe85e0,70680,brasilia,df,70680,-15.785799316169744,-47.91757453421891,brasília,df,False,True
c55a17a7c31353c35d48550b3aebc06f,578d5e6d37a20bbf631183feedfe2dea,35408,glaura,mg,,,,,,False,False
5e4b0c76f331945cd0ebb67a3adce403,8d66f98c026e3d77ea0c70f5a2c8e98e,02231,sao paulo,sp,02231,-23.47564614294332,-46.56558172594988,são paulo,sp,False,True
3a9686af66e7ba1291b19d2e41d584ce,c85df1c6ef6f7bb605e1c49d34f172ee,78554,sinop,mt,,,,,,False,False
baca33004aa726524d5a891853100559,aa67457bb07fde4e952d67b038135bee,73369,brasilia,df,,,,,,False,False
7557541c9c578082c892cf185c3b0b47,7ee645e84a436c9dad3d5af253162fe7,08980,nossa senhora do remedio,sp,,,,,,False,False
bbf5e98dabf1bdac752afc68f8032bda,13aba123512eef450a11646c572fccca,29949,sao mateus,es,,,,,,False,False
47991a53433aaa66f7847608c1fdf716,504c50c33f84b78f26c028f2f8e4a860,37925,piumhii,mg,37925,-20.469549898219025,-45.96099284289125,piumhi,mg,False,True
78bebfa74709728a62d4a98efbde8ac0,fac8b5e914037fc2e2476783585f0769,65137,maioba,ma,,,,,,False,False
814dfd64a142fe2564faef3932b676b9,d647bd6f2997e98e04f7d84da752b873,28655,monnerat,rj,,,,,,False,False
9bc4a258f344f7de44ca841d25a497fd,f372db7693e8b9df2f201a59b1a15c20,70680,brasilia,df,70680,-15.785799316169744,-47.91757453421891,brasília,df,False,True
5f0099134079adfe14d1df3d8ecc57ae,25aaba9edaf948bb0b0af688266934e8,73255,brasilia,df,,,,,,False,False
b94afa1536154b937c32785ad8263141,aa0b2eaabf40dd1b26af1f47b7d42865,13841,mogi-guacu,sp,13841,-22.364979294138546,-46.92434237739809,mogi guacu,sp,False,True
d7cf6e6f535ab1be102e3e7ab5185139,659d92dc24d2773bb6c74985a14d2221,06768,taboao da serra,sp,06768,-23.607633000000003,-46.75564199999999,taboão da serra,sp,False,True
9898e8eddc4e40527c7cda1dc8ef3a9f,23916bba358a757bc1a2962315e9ad15,28388,bom jesus do querendo,rj,,,,,,False,False
3e03d4153f402a107117e6eb0bab7ec8,eac46d144f4593759db4fd029f91f6cc,73251,brasilia,df,73251,-15.67044853931117,-47.81596285510468,sobradinho,df,False,True
f341549b5b28a46a5b4db2f4372e36a2,b085fe730254d7b519bc1231da539c38,06930,cipo-guacu,sp,,,,,,False,False
77f30174b3db9880a8a868926892545d,c21b919e97346078646722f34ec6daf7,71676,brasilia,df,,,,,,False,False
6dc03b7785c3ad8b1f2f69a96afaf0d9,e1f1862e74270220628e76ecc8d68f98,71950,taguatinga,df,71950,-15.838929410218688,-48.043783756744176,brasilia,df,False,True
d4a4c83732d4270a8c93260be1c189ed,881c338c2a976c0f6e7d8f317840775c,64047,teresina,pi,,,,,,False,False
f493aff390d5dc333518bd728e9d9787,41507ff4b7bab10c31de27a09a09da50,70680,brasilia,df,70680,-15.785799316169744,-47.91757453421891,brasília,df,False,True
